Reference, Value, Footprint, Datasheet
"C1","1u","Capacitors_SMD:C_0603","~"
"C2","0.1u","Capacitors_SMD:C_0603","~"
"C3","1u","Capacitors_SMD:C_0603","~"
"C4","18F 2.7V","Capacitors_THT:CP_Radial_D12.5mm_P5.00mm","https://www.mouser.com/datasheet/2/40/AVX_SCC-1920423.pdf"
"C5","0.1u","Capacitors_SMD:C_0603","~"
"C6","0.1u","Capacitors_SMD:C_0603","~"
"C7","0.1u","Capacitors_SMD:C_0603","~"
"C8","0.1u","Capacitors_SMD:C_0603","~"
"C9","0.1u","Capacitors_SMD:C_0603","~"
"C10","220 1%","Capacitors_SMD:C_0603","https://www.mouser.com/datasheet/2/210/kamaya_02222019_HH_Series-1535624.pdf"
"C11","360 1%","Capacitors_SMD:C_0603","https://www.mouser.com/datasheet/2/281/GCM1885C2A361FA16_01-1966232.pdf"
"C12","270 1%","Capacitors_SMD:C_0603","https://www.mouser.com/datasheet/2/281/GCM1885C2A271FA16_01-1966208.pdf"
"D1","LED","LEDs:LED_0603","https://www.mouser.com/datasheet/2/216/AA1608SURSK-1951973.pdf"
"D2","CUS10S30","Diodes_SMD:D_SOD-323_HandSoldering","https://www.mouser.com/datasheet/2/408/CUS10S30_datasheet_en_20140407-1076477.pdf"
"D3","CUS10S30","Diodes_SMD:D_SOD-323_HandSoldering","https://www.mouser.com/datasheet/2/408/CUS10S30_datasheet_en_20140407-1076477.pdf"
"D4","CUS10S30","Diodes_SMD:D_SOD-323_HandSoldering","https://www.mouser.com/datasheet/2/408/CUS10S30_datasheet_en_20140407-1076477.pdf"
"FB1","Ferrite_Bead_Small","Resistors_SMD:R_0603","~"
"H1","72-ohm vertical dipole","Wire_Pads:SolderWirePad_single_0-8mmDrill","~"
"H2","72-ohm vertical dipole","Wire_Pads:SolderWirePad_single_0-8mmDrill","~"
"J1","SWD debug","Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm","~"
"J2","Wirepad","Wire_Pads:SolderWirePad_single_0-8mmDrill","~"
"J3","Wirepad","Wire_Pads:SolderWirePad_single_0-8mmDrill","~"
"J4","Wirepad","Wire_Pads:SolderWirePad_single_0-8mmDrill","~"
"J5","Wirepad","Wire_Pads:SolderWirePad_single_0-8mmDrill","~"
"J6","Wirepad","Wire_Pads:SolderWirePad_single_0-8mmDrill","~"
"J7","Wirepad","Wire_Pads:SolderWirePad_single_0-8mmDrill","~"
"L1","560 nH 1%","Inductors_SMD:L_Abracon_ASPI-3012S","https://www.mouser.com/datasheet/2/281/JELF243A_0085-1380913.pdf"
"L2","560 nH 1%","Inductors_SMD:L_Abracon_ASPI-3012S","https://www.mouser.com/datasheet/2/281/JELF243A_0085-1380913.pdf"
"Q1","BSS816","TO_SOT_Packages_SMD:SOT-323_SC-70","https://www.mouser.com/datasheet/2/196/Infineon-BSS816NW-DS-v02_03-en-1731310.pdf"
"Q2","BSS816","TO_SOT_Packages_SMD:SOT-323_SC-70","https://www.mouser.com/datasheet/2/196/Infineon-BSS816NW-DS-v02_03-en-1731310.pdf"
"Q3","BSS816","TO_SOT_Packages_SMD:SOT-323_SC-70","https://www.mouser.com/datasheet/2/196/Infineon-BSS816NW-DS-v02_03-en-1731310.pdf"
"Q4","SSM3J132TU","TO_SOT_Packages_SMD:SOT-323_SC-70","https://www.mouser.com/datasheet/2/408/SSM3J132TU_datasheet_en_20140301-1003286.pdf"
"R1","180","Resistors_SMD:R_0603","~"
"R2","33","Resistors_SMD:R_0603","~"
"R3","33","Resistors_SMD:R_0603","~"
"R4","33","Resistors_SMD:R_0603","~"
"R5","12M","Resistors_SMD:R_0603","https://www.mouser.com/datasheet/2/447/Yageo_03_18_2021_PYu_RC_Group_51_RoHS_L_11-2199992.pdf"
"R6","12M","Resistors_SMD:R_0603","https://www.mouser.com/datasheet/2/447/Yageo_03_18_2021_PYu_RC_Group_51_RoHS_L_11-2199992.pdf"
"R7","TBD","Resistors_SMD:R_0603","~"
"SC1","MPT2.4-21","","https://www.powerfilmsolar.com/products/electronic-component-solar-panels/classic-application-series/mpt24-21"
"SC2","MPT2.4-21","","https://www.powerfilmsolar.com/products/electronic-component-solar-panels/classic-application-series/mpt24-21"
"SC3","MPT2.4-21","","https://www.powerfilmsolar.com/products/electronic-component-solar-panels/classic-application-series/mpt24-21"
"U1","TPS7A03xxPDBV","TO_SOT_Packages_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tps7a03.pdf?ts=1639567327596&ref_url=https%253A%252F%252Fwww.mouser.fr%252F"
"U2","STM32L031F","Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm","https://www.st.com/resource/en/datasheet/stm32l031f4.pdf"
"U3","SiT1566","My footprints:SiTime_SiT1566","https://www.mouser.com/datasheet/2/371/SiT1566_datasheet-1511368.pdf"
"U4","Si5351A-B-GT","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm","https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/Si5351-B.pdf"
"U5","LPS225HB","My footprints:ST_HLGA_8L","https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/c1/14/da/97/e7/a9/43/4f/DM00347680/files/DM00347680.pdf/jcr:content/translations/en.DM00347680.pdf"
"Y1","25 MHz","Crystals:Crystal_SMD_2016-4pin_2.0x1.6mm","https://www.mouser.com/datasheet/2/122/ECX_1637B2-2400564.pdf"
